_id,id,learningTrackCluster_id,Number of Learning Activities in LT,Number of Exercises in LT,Number of Engagement Activities in LT,Number of Communication Activities in LT,Number of Videos in LT,Number of Games in LT,Times Edited,Average Fun of LT,Average Difficulty of LT,typeLT,highuseteachLT,notprimary
930,b4789710-6027-40e5-a71f-20ed6e8b51bd,15,29.0,17,4,0,1,0,0,,,1,1,0
95,d1c030f7-7146-4d9c-bc88-455d2f5d6782,18,4.0,2,0,2,1,0,0,,,0,0,0
97,c65a3bb1-bb6d-46c4-875c-f05fbf4b7ec6,3,26.0,14,8,2,3,0,1,,,1,0,1
90,636de566-f924-4204-963c-5dec9721e9f0,18,5.0,5,0,5,2,0,4,,,0,0,0
83,852fddb1-abac-48f2-b872-956cd1092b24,18,4.0,4,0,4,2,0,4,,,0,0,0
82,47bf6001-6123-442c-a68f-de667fbb2d96,18,4.0,4,0,4,2,0,4,,,0,0,0
96,e808037b-567e-4565-b5a0-afc097b17017,18,4.0,2,0,2,1,0,0,,,0,0,0
91,bfd7757e-2d89-4ccb-a063-f740fddf334a,18,4.0,3,0,1,1,0,0,,,0,0,0
92,2070f0df-b5ea-4ca9-a79a-a24f883bf5d2,18,5.0,2,0,3,1,0,0,,,0,0,0
93,c18a8789-7235-4363-9c25-e1cc4e4e0f06,18,5.0,2,0,3,1,0,0,,,0,0,0
176,cf43a51f-e3bf-489d-b4bc-30f512d84e1a,15,27.0,16,3,0,1,0,0,5.0,1.6666666666666667,1,0,0
171,e5d6964f-a4af-49e0-9b25-4e7d125c7e2f,3,25.0,12,8,3,3,0,0,,,1,0,1
210,654fadc2-a92d-44b5-a174-54bbcc8f7d01,3,28.0,14,8,3,3,1,0,,,1,0,1
211,066a3cbb-4eac-4af9-98d6-eab913383e72,3,26.0,12,8,3,3,1,0,,,1,0,1
249,bf4fcfc5-cf6a-407a-8042-7048ff9697c7,3,25.0,12,8,3,3,0,0,,,1,0,1
252,7ccfd813-30eb-41a7-a2c6-9bb9d1bb9358,5,4.0,4,1,0,0,0,0,,,1,0,1
103,b83f2d1d-59f6-4d01-a8a5-65cdd3f6d232,19,40.0,23,14,2,2,0,0,,,1,0,1
931,e35312d6-6cca-4221-88f8-f976b04a89c2,15,26.0,16,4,0,1,0,0,3.769230769230769,,1,1,0
69,28ccc181-501f-4a25-b542-28ca8cd4f584,11,5.0,1,0,1,4,0,0,,,2,0,0
110,73f0af2d-a610-4f72-920e-2849f6b5e7e1,2,,0,0,0,0,0,0,,,1,0,1
105,497a4b14-6d55-4f77-b2cb-1b3b8bc0b040,2,2.0,2,0,0,1,0,5,,,1,0,1
467,f6acc983-21c0-4cf3-acd9-7da9f4a650ce,14,26.0,15,0,11,0,0,0,,,2,0,1
118,9ebc48fc-905c-4e70-8b37-8237e22f1973,18,4.0,2,0,2,1,0,0,,,0,0,0
468,2463077b-2fd2-453b-9ddc-96233a5ba93f,14,37.0,25,0,13,0,0,0,,,2,0,1
120,9313c348-d3e7-44ae-bc49-080343a72ee2,2,7.0,2,0,0,6,0,0,,,1,0,1
145,9a160ba2-fb64-4157-9d81-c1c5e27be6d2,15,26.0,24,3,0,1,0,1,,,1,0,0
104,0e0f7b20-9d22-4d44-ae8a-a69b9731734f,2,0.0,0,0,0,1,0,0,,,1,0,1
556,1a9e0b9a-b8e6-490a-a597-b80253e10a85,3,25.0,12,8,3,3,0,0,,,1,0,1
622,405b551b-5eb5-46c4-a59b-bd33460f291f,3,25.0,12,8,3,3,0,0,,,1,0,1
102,540c4c47-e7e5-4655-b14a-8a9764a7a8e6,19,38.0,23,14,2,2,0,1,,,1,0,1
127,767ef722-e6e7-4191-830c-1c57450d49b5,18,4.0,2,0,2,1,0,0,,,0,0,0
126,17221482-a5b7-484e-bc5d-41097fa716f7,18,4.0,2,0,2,1,0,0,,,0,0,0
125,233348f1-12c8-4a67-aefa-aa5fef1530e1,18,4.0,2,0,2,1,0,0,,,0,0,0
128,cfafcd0c-f41e-42a5-9141-cc410c0c4f49,18,5.0,2,0,3,1,0,0,,,0,0,0
129,caf30491-534d-42a6-ac92-7a91d9aaf727,18,5.0,2,0,3,1,0,0,,,0,0,0
122,ecd19fba-c6cb-4fb2-a3fc-f3c95402c3e5,2,19.0,11,6,0,7,0,0,,,1,0,1
134,520ce2f8-d32e-414e-820e-99887ca70f57,11,2.0,1,0,2,0,0,0,,,2,0,0
135,2589f66c-8a25-4619-86ed-d080db5662f2,11,2.0,1,0,2,0,0,0,,,2,0,0
136,04a2d6a1-3d04-4ab4-8531-ebbbd57172c7,11,2.0,1,0,2,0,0,0,,,2,0,0
137,ef2a7523-a600-40d6-af6f-f3a57326bd14,11,2.0,2,0,1,0,0,0,,,2,0,0
138,a828694f-9eec-4225-8a79-dbb999ad4a1a,11,3.0,2,0,2,0,0,0,,,2,0,0
139,1b87852e-e17b-4540-ae18-5794e86b250b,11,3.0,2,0,2,0,0,0,,,2,0,0
140,db4459ef-dfab-4d23-8b25-18d71c80c084,11,4.0,1,0,3,1,0,0,,,2,0,0
141,6c52904f-9b00-43c9-98db-08dedbba3af2,11,4.0,1,0,3,1,0,0,3.0,3.0,2,0,0
142,52f1fede-a464-4fbe-a2cd-1c1e1c26a73e,11,4.0,1,0,3,1,0,0,3.0,3.0,2,0,0
932,132fab42-73f5-4169-b5c7-82ba6dcc9e3c,15,21.0,17,4,0,1,0,0,3.8125,,1,1,0
148,1976d245-26bf-4d1c-b499-1a5b76266860,18,12.0,8,3,0,2,0,0,4.0,2.0,0,0,0
149,8fbc7616-fb51-467f-9c88-327eb4009ade,18,12.0,8,3,0,2,0,0,,,0,0,0
933,75899960-f636-4d91-814e-86587d03dd9a,15,21.0,17,4,0,1,0,0,3.892857142857143,,1,1,0
164,0160a471-3ebe-4a31-b004-69ef18d115a8,15,0.0,0,1,0,0,0,2,,,1,0,0
132,d336b0b3-ffcf-41c1-bdb9-49560e301ad7,11,5.0,1,0,1,4,0,0,,,2,0,0
133,521c8984-7d6f-401a-9ad6-17d3d8c78727,11,5.0,1,0,1,4,0,0,,,2,0,0
524,0c3981b5-d606-46c5-96ce-06c002742214,15,36.0,19,6,1,2,0,0,4.462962962962963,,1,1,0
557,352a9a0c-d69c-4898-9635-a55063414d01,3,28.0,14,8,3,3,1,0,,,1,0,1
212,6a0e708e-125e-4c7d-99ee-0eacf2b3b611,2,3.0,2,1,0,1,0,0,,,1,0,1
363,f7183a1a-c16c-42d7-ab75-ef45bd468041,3,28.0,14,8,3,3,1,1,,,1,0,1
362,3436d637-3ace-4b81-a79c-c6b876b4645c,3,28.0,14,8,3,3,1,0,4.666666666666667,1.3333333333333333,1,0,1
63,d25b1bd3-6ae3-420e-b255-54c382a78669,11,4.0,1,0,3,1,0,4,,,2,0,0
131,aaaf6aa9-cb9e-4feb-8604-d935bc9cef59,18,2.0,2,0,0,1,0,0,2.0,4.0,0,0,0
150,0f6a3bea-7028-433b-9ee4-aca4ca431a33,18,12.0,8,3,0,2,0,0,3.0,2.0,0,0,0
152,8e62fb51-2c47-4117-af96-385ede332558,18,12.0,8,3,0,2,0,0,,,0,0,0
151,0c1834cf-fda6-4075-b663-2e1b2b838e09,18,12.0,8,3,0,2,0,0,,,0,0,0
525,dbba595b-a3a2-4878-9cc0-1544c854ea64,15,29.0,17,4,0,1,0,0,4.194444444444445,,1,1,0
153,afe87a2b-6dda-4301-931c-4cb144431f15,18,12.0,8,3,0,2,0,0,,,0,0,0
911,dc414cff-ac3e-456f-a351-9e192e6f824e,15,24.0,15,3,0,1,0,0,,,1,1,0
166,ba0b1320-8e56-4e15-a0a5-4626275f98c2,15,25.0,15,3,0,1,0,0,,,1,0,0
173,baedcb31-f8b9-459b-8c22-55967ab2653b,11,5.0,1,0,1,4,0,0,,,2,0,0
208,706ebcbb-951a-433b-8941-b5de13dd931b,15,29.0,17,4,0,1,0,0,,,1,0,0
225,69e44da9-d7b9-41e2-b852-66c82957232b,15,0.0,0,1,0,0,0,0,,,1,1,0
246,9c691655-22fb-4043-8387-798276b13688,15,21.0,16,5,0,1,0,0,4.0,,1,0,0
934,81e4e0e2-dfb7-421a-83ff-a610a6ea26e4,15,19.0,16,3,0,1,0,0,3.6666666666666665,,1,1,0
158,5214cfc5-351c-47a3-9d07-7a8655e5b5dd,18,12.0,8,3,0,2,0,0,,,0,0,0
156,f1553f31-9a96-4fdb-8fa2-141604f8415f,18,2.0,2,0,0,1,0,0,,,0,0,0
159,2f711cdd-c4c9-4f24-8f17-5c11a86184ef,18,17.0,15,2,0,1,0,0,,,0,0,0
492,9739367a-3226-4e3e-91f6-4577257198bf,8,10.0,8,0,2,0,1,0,3.0,4.0,2,0,1
170,d14bd451-7254-4bbf-b040-327adad293fa,3,25.0,12,8,3,3,0,0,,,1,0,1
935,733e62c5-762f-42d8-8f16-2b3fe322170e,15,19.0,16,3,0,1,0,0,3.494047619047619,,1,1,0
513,de855871-f3a6-4a6f-ac82-db1cb33a5e70,18,12.0,8,3,0,2,0,0,,,0,0,0
198,3acee451-e179-4a39-89de-d1e893b658e2,18,4.0,2,0,2,1,0,0,,,0,0,0
197,f554b49d-185e-4f15-9de6-f81385ed8a6a,18,4.0,2,0,2,1,0,0,,,0,0,0
200,09a622ce-5b8b-49c8-b30e-4f63fe576658,18,5.0,3,0,2,1,0,0,,,0,0,0
199,b5aa3008-1c63-4be7-8378-41cc2cf41b93,18,4.0,3,0,1,1,0,0,,,0,0,0
