id,school_id,Number of Started Assigned Learning Activities,Number of Completed Assigned Learning Activities,Ratio of Completed Learning Activities to Assigned Learning Activities,Total Time in Completed Learning Activities,Average Time in Completed Learning Activities,Number of Exercise Activities,Number of Engagement Activities,Number of Comunication Activities,Number of Video Activities,Number of Game Activities,Number of Free Learning Activities,Number of Unique Free Learning Activities,Number of Started Learning Tracks,Number of Completed Learning Tracks,Total Time in Completed Learning Tracks,Average Time in Completed Learning Tracks,Number of Language Learning Tracks Started,Number of STEM Learning Tracks Started,Number of Music Learning Tracks Started,Number of Religion Learning Tracks Started,Number of Problems,Average Difficulty Rating,Average Fun Rating
4f7b7e2e-9fdb-4187-b2e7-06e041e30724,8,24,22,0.3188405797101449,0 days 01:28:43.092436,0 days 00:04:01.958747090,6,9,4,5,0,0,0,6,2,0 days 00:49:52.980000,0 days 00:24:56.490000,4,2,0,0,0,,3.8333333333333335
5283a647-ba50-410e-8569-7f41eccf104e,8,25,21,0.3888888888888889,7 days 00:49:37.721140,0 days 08:02:21.796244761,7,4,6,8,0,0,0,9,3,7 days 00:34:45.755000,2 days 08:11:35.251666666,3,5,0,0,0,,3.2
90d9c259-bf1c-41ea-b02b-b3b32ab0a2cd,8,29,27,0.3375,7 days 01:37:57.333669,0 days 06:16:57.679024777,8,6,6,9,0,0,0,9,3,0 days 00:55:02.705000,0 days 00:18:20.901666666,4,5,0,0,0,,3.0
09b6ad5d-2298-440e-b511-746587bd190c,8,23,17,0.2236842105263158,0 days 00:36:42.497724,0 days 00:02:09.558689647,7,7,3,6,0,0,0,9,3,0 days 00:53:36.140000,0 days 00:17:52.046666666,4,4,0,0,0,,4.0
2eecb80b-4799-4770-8030-ea978da81ec7,8,23,17,0.38636363636363635,5 days 05:27:01.906805,0 days 07:22:45.994517941,7,4,5,7,0,0,0,8,3,7 days 00:29:30.240000,2 days 08:09:50.080000,3,5,0,0,0,,3.6666666666666665
e54835c4-68e9-4eb9-aa31-6556692f3800,8,25,18,0.43902439024390244,0 days 01:19:51.077421,0 days 00:04:26.170967833,10,5,1,9,0,2,1,8,3,0 days 00:48:48.114000,0 days 00:16:16.038000,3,4,0,0,0,,2.5
6c76ae1b-9975-42e0-81dc-b7509639d25e,8,40,35,0.7954545454545454,42 days 02:02:31.405045,1 days 04:51:30.040144142,15,7,8,10,0,0,0,8,3,0 days 00:38:30.517000,0 days 00:12:50.172333333,3,5,0,0,0,,3.2777777777777777
3f4c262a-950e-4e30-937d-2696978e2f33,9,35,33,0.66,0 days 01:09:50.307818,0 days 00:02:06.979024787,24,6,1,3,1,0,0,3,2,43 days 21:07:45.500000,21 days 22:33:52.750000,1,0,2,0,3,,4.0
a209723e-a1ad-4eb0-b2a5-102496d70f68,9,27,27,0.75,8 days 20:20:38.870687,0 days 07:51:52.550766185,18,6,1,2,0,0,0,1,1,9 days 23:10:32.716000,9 days 23:10:32.716000,1,0,0,0,0,,4.083333333333333
5cb16c4e-48b9-468b-95d0-55ca12cec395,9,29,29,0.6744186046511628,46 days 06:21:36.771255,1 days 14:17:17.819698448,20,4,1,3,1,0,0,2,1,8 days 23:24:48.611000,8 days 23:24:48.611000,1,0,1,0,0,,4.75
